Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__37,acquisition-64dir_datatype-dwi_suffix-dwi,37,1,140.0,140.0,81.0,0.089,0.00067,90.0,False,3.0,81,129.0,False,,0.75,j-,4.1,0.093,False,1.714,1.714,1.7
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeNumVolumesVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__38,acquisition-64dir_datatype-dwi_suffix-dwi,38,1,96.0,96.0,72.0,0.094,0.00072,90.0,False,3.0,72,11.0,False,,0.75,j-,4.5,0.068,False,2.0,2.0,2.0
,,,acquisition-64dirVARIANTDim3SizeNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__39,acquisition-64dir_datatype-dwi_suffix-dwi,39,1,104.0,104.0,6059.0,0.1,0.00041,90.0,False,,0,1.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
,,,,acquisition-HCP_datatype-anat_run-1_suffix-T1w__1,acquisition-HCP_datatype-anat_run-1_suffix-T1w,1,136,224.0,320.0,320.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTRepetitionTimeDim1SizeDim2SizeDim3SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_run-1_suffix-T1w,acquisition-HCP_datatype-anat_run-1_suffix-T1w__2,acquisition-HCP_datatype-anat_run-1_suffix-T1w,2,1,nan,nan,nan,,,,False,,0,1.0,nan,,,,nan,,False,nan,nan,nan
,,,,acquisition-HCP_datatype-anat_run-2_suffix-T1w__1,acquisition-HCP_datatype-anat_run-2_suffix-T1w,1,136,224.0,320.0,320.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTDim1SizeDim2SizeDim3SizeVoxelSizeDim2VoxelSizeDim3_datatype-anat_run-2_suffix-T1w,acquisition-HCP_datatype-anat_run-2_suffix-T1w__2,acquisition-HCP_datatype-anat_run-2_suffix-T1w,2,1,144.0,256.0,256.0,0.003,,8.0,False,,0,1.0,False,4.0,1.0,,2.5,,False,0.8,1.0,1.0
,,,,acquisition-HCP_datatype-anat_suffix-T1w__1,acquisition-HCP_datatype-anat_suffix-T1w,1,2318,224.0,320.0,320.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTDim1SizeVoxelSizeDim1_datatype-anat_suffix-T1w,acquisition-HCP_datatype-anat_suffix-T1w__2,acquisition-HCP_datatype-anat_suffix-T1w,2,2,176.0,320.0,320.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,0.8,0.8
,,,acquisition-HCPVARIANTRepetitionTimeDim1SizeDim2SizeDim3SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w,acquisition-HCP_datatype-anat_suffix-T1w__3,acquisition-HCP_datatype-anat_suffix-T1w,3,2,nan,nan,nan,,,,False,,0,1.0,nan,,,,nan,,False,nan,nan,nan
