Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__9,datatype-func_suffix-bold_task-frac2back,9,2,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,89.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__10,datatype-func_suffix-bold_task-frac2back,10,2,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,126.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__11,datatype-func_suffix-bold_task-frac2back,11,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,180.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__12,datatype-func_suffix-bold_task-frac2back,12,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,200.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__13,datatype-func_suffix-bold_task-frac2back,13,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,111.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__14,datatype-func_suffix-bold_task-frac2back,14,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,103.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__15,datatype-func_suffix-bold_task-frac2back,15,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,175.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__16,datatype-func_suffix-bold_task-frac2back,16,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,157.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__17,datatype-func_suffix-bold_task-frac2back,17,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,78.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTObliquity_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__18,datatype-func_suffix-bold_task-frac2back,18,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,231.0,TRUE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__19,datatype-func_suffix-bold_task-frac2back,19,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,76.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__20,datatype-func_suffix-bold_task-frac2back,20,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,108.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__21,datatype-func_suffix-bold_task-frac2back,21,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,183.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumesNoFmap_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__22,datatype-func_suffix-bold_task-frac2back,22,1,64,64,46,0.032,0.00055,90,FALSE,1529,func,46,117.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumesNoFmap_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__23,datatype-func_suffix-bold_task-frac2back,23,1,64,64,46,0.032,0.00055,90,FALSE,1529,func,46,207.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__24,datatype-func_suffix-bold_task-frac2back,24,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,88.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__25,datatype-func_suffix-bold_task-frac2back,25,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,187.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__26,datatype-func_suffix-bold_task-frac2back,26,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,191.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__27,datatype-func_suffix-bold_task-frac2back,27,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,149.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__28,datatype-func_suffix-bold_task-frac2back,28,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,156.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__29,datatype-func_suffix-bold_task-frac2back,29,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,101.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__30,datatype-func_suffix-bold_task-frac2back,30,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,225.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__31,datatype-func_suffix-bold_task-frac2back,31,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,218.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__32,datatype-func_suffix-bold_task-frac2back,32,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,205.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumesNoFmap_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__33,datatype-func_suffix-bold_task-frac2back,33,1,64,64,46,0.032,0.00055,90,FALSE,1529,func,46,195.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumesNoFmap_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__34,datatype-func_suffix-bold_task-frac2back,34,1,64,64,46,0.032,0.00055,90,FALSE,1529,func,46,227.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumesNoFmap_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__35,datatype-func_suffix-bold_task-frac2back,35,1,64,64,46,0.032,0.00055,90,FALSE,1529,func,46,98.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__36,datatype-func_suffix-bold_task-frac2back,36,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,170.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__37,datatype-func_suffix-bold_task-frac2back,37,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,201.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__38,datatype-func_suffix-bold_task-frac2back,38,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,227.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__39,datatype-func_suffix-bold_task-frac2back,39,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,140.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__40,datatype-func_suffix-bold_task-frac2back,40,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,141.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumesNoFmap_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__41,datatype-func_suffix-bold_task-frac2back,41,1,64,64,46,0.032,0.00055,90,FALSE,1529,func,46,183.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumesNoFmap_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__42,datatype-func_suffix-bold_task-frac2back,42,1,64,64,46,0.032,0.00055,90,FALSE,1529,func,46,81.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__43,datatype-func_suffix-bold_task-frac2back,43,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,132.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__44,datatype-func_suffix-bold_task-frac2back,44,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,115.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__45,datatype-func_suffix-bold_task-frac2back,45,1,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,154.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
