Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__25,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,25,1,64,64,46,0.032,0.00055,90,True,61,func,46,149.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__26,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,26,1,64,64,46,0.032,0.00055,90,True,61,func,46,111.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__27,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,27,1,64,64,46,0.032,0.00055,90,True,61,func,46,103.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__28,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,28,1,64,64,46,0.032,0.00055,90,True,61,func,46,134.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__29,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,29,1,64,64,46,0.032,0.00055,90,True,61,func,46,170.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__30,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,30,1,64,64,46,0.032,0.00055,90,True,61,func,46,141.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__31,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,31,1,64,64,46,0.032,0.00055,90,True,61,func,46,132.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__32,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,32,1,64,64,46,0.032,0.00055,90,True,61,func,46,115.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__33,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,33,1,64,64,46,0.032,0.00055,90,True,61,func,46,154.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__34,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,34,1,64,64,46,0.032,0.00055,90,True,61,func,46,110.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__35,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,35,1,64,64,46,0.032,0.00055,90,True,61,func,46,227.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__36,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,36,1,64,64,46,0.032,0.00055,90,True,61,func,46,129.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__37,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,37,1,64,64,46,0.032,0.00055,90,True,61,func,46,72.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__38,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,38,1,64,64,46,0.032,0.00055,90,True,61,func,46,201.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__39,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,39,1,64,64,46,0.032,0.00055,90,True,61,func,46,143.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__40,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,40,1,64,64,46,0.032,0.00055,90,True,61,func,46,138.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__41,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,41,1,64,64,46,0.032,0.00055,90,True,61,func,46,105.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__42,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,42,1,64,64,46,0.032,0.00055,90,True,61,func,46,151.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__43,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,43,1,64,64,46,0.032,0.00055,90,True,61,func,46,226.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__44,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,44,1,64,64,46,0.032,0.00055,90,True,61,func,46,91.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__45,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,45,1,64,64,46,0.032,0.00055,90,True,61,func,46,109.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__46,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,46,1,64,64,46,0.032,0.00055,90,True,61,func,46,167.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__47,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,47,1,64,64,46,0.032,0.00055,90,True,61,func,46,73.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__48,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,48,1,64,64,46,0.032,0.00055,90,True,61,func,46,125.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
