Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,datatype-dwi_run-1_suffix-dwi__26,datatype-dwi_run-1_suffix-dwi,26,1,128,128,70,1.8e-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,16.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__27,datatype-dwi_run-1_suffix-dwi,27,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.6,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__1,datatype-dwi_run-2_suffix-dwi,1,1351,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__2,datatype-dwi_run-2_suffix-dwi,2,22,128,128,70,,0.082,0.000266666,,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__3,datatype-dwi_run-2_suffix-dwi,3,19,128,128,70,1.8e-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__4,datatype-dwi_run-2_suffix-dwi,4,4,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.5,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__5,datatype-dwi_run-2_suffix-dwi,5,3,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.8,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__6,datatype-dwi_run-2_suffix-dwi,6,2,128,128,46,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,36.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,3.0
,,,,datatype-dwi_run-2_suffix-dwi__7,datatype-dwi_run-2_suffix-dwi,7,2,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.2,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__8,datatype-dwi_run-2_suffix-dwi,8,2,128,128,70,1.8e-06,0.082,0.000266666,,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__9,datatype-dwi_run-2_suffix-dwi,9,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,30.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__10,datatype-dwi_run-2_suffix-dwi,10,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.3,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__11,datatype-dwi_run-2_suffix-dwi,11,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,4.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__12,datatype-dwi_run-2_suffix-dwi,12,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.4,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__13,datatype-dwi_run-2_suffix-dwi,13,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,9.8,0.0338665,1.875,1.875,2.0
