Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-ABCD64dirVARIANTMultibandAccelerationFactor_datatype-dwi_session-HBNsiteCBIC_suffix-dwi__1,acquisition-ABCD64dirVARIANTMultibandAccelerationFactor_datatype-dwi_session-HBNsiteCBIC_suffix-dwi,1,1,140,140,81,0.089,0.0007,90,False,1,dwi,3.0,81,129.0,False,,0.75,j-,4.1,0.09,False,1.714,1.714,1.7
,,,,acquisition-ABCD64dirVARIANTObliquity_datatype-dwi_session-HBNsiteCBIC_suffix-dwi__1,acquisition-ABCD64dirVARIANTObliquity_datatype-dwi_session-HBNsiteCBIC_suffix-dwi,1,1,140,140,81,0.089,0.0007,90,True,1,dwi,,0,129.0,True,,0.75,j-,4.1,0.09,False,1.714,1.714,1.7
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi__1,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi,1,1154,84,84,60,0.051,0.0006,90,False,1185,fmap,,60,1.0,True,,1.0,j-,5.301,0.05,True,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTObliquity_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi__2,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi,2,14,84,84,60,0.051,0.0006,90,False,1185,fmap,,60,1.0,False,,1.0,j-,5.301,0.05,True,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTUnused_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi__3,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi,3,14,84,84,60,0.051,0.0006,90,False,1185,fmap,,60,1.0,True,,1.0,j-,5.301,0.05,False,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTPhaseEncodingDirection_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi__4,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi,4,1,84,84,60,0.051,0.0006,90,False,1185,fmap,,60,1.0,True,,1.0,j,5.301,0.05,True,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTPhaseEncodingDirectionObliquity_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi__5,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi,5,1,84,84,60,0.051,0.0006,90,False,1185,fmap,,60,1.0,False,,1.0,j,5.301,0.05,True,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTEchoTimeEffectiveEchoSpacingPhaseEncodingDirectionRepetitionTimeTotalReadoutTime_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi__6,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteRU_suffix-epi,6,1,84,84,60,0.066,0.0007,90,False,1185,fmap,,60,1.0,True,,1.0,i,6.61,0.06,True,2.4,2.4,2.4
,,,,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi__1,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,1,1134,84,84,60,0.051,0.0006,90,False,1181,fmap,,60,1.0,True,,1.0,j,5.301,0.05,True,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTPhaseEncodingDirection_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi__2,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,2,16,84,84,60,0.051,0.0006,90,False,1181,fmap,,60,1.0,True,,1.0,j-,5.301,0.05,True,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTObliquity_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi__3,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,3,13,84,84,60,0.051,0.0006,90,False,1181,fmap,,60,1.0,False,,1.0,j,5.301,0.05,True,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTUnused_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi__4,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,4,13,84,84,60,0.051,0.0006,90,False,1181,fmap,,60,1.0,True,,1.0,j,5.301,0.05,False,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTEchoTimeEffectiveEchoSpacingPhaseEncodingDirectionRepetitionTimeTotalReadoutTime_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi__5,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,5,3,84,84,60,0.066,0.0007,90,False,1181,fmap,,60,1.0,True,,1.0,i,6.61,0.06,True,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTPhaseEncodingDirectionObliquity_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi__6,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,6,1,84,84,60,0.051,0.0006,90,False,1181,fmap,,60,1.0,False,,1.0,j-,5.301,0.05,True,2.4,2.4,2.4
